BIGFOOT, HANDLE, ROCK, EYE ; key: F7 RELICS
DRAGONS JERRY VOID END ; key: ASPECT OF THE
EGGS, HARVEST FEAR, JERRY, ; EVENTS
WILDERNESS COLLOSEUM GRAVEYARD PARK ; key: ROMERO LOCATIONS
AIMING, TELEKINESIS, DRAGON HUNTER, SYPHON ; key: REMOVED ENCHANTS
SKELETON GUARDIAN CREEPER SPIDER ; key: MONSTER HUNTER ARMOR
MENDING ARMOR GREEN DRAGON ; key: HOLY DRAGON ARMOR
IMPACT SHIELD IMPLOSION WARP ; key: WITHER SCROLLS
GIFTS DRAKE ICE FISH ; key: REINDRAKE
TRAP BLOOD PUZZLE FAIRY ; key: ROOM TYPES
SPARK RUSH WIND POOL ; key: HOLLOW SPELLS
SPIRIT DOMINUS ARCANE HYDRA ; key: KUUDRA ARMOR PASSIVES
SHAMAN LORD MASTER APPRENTICE ; key: DUNGEON BOSS TITLES
RED GREEN PURPLE YELLOW ; key: PADS
GHOST POWDER DWARF ORES ; key: DWARVEN MINES
POWDER DIVE TEAR CLOAK ; key: GHAST
ROD TEAR CREAM GLOWSTONE ; key: VANQUISHED
PIG HORSE ROCK ARMADILLO ; key: MOUNTS
HOOK WEB AXE TRAP ; key: HUNTING BOX
MOLTEN QUICK GREAT KINETIC ; key: FORGE
JADE POKEMON DETECTOR HOLLOWS ; key: MITHRIL DEPOSITS
SLUDGE THYST SPEAR KEY ; key: JUNGLE
WET POLAR DUMMIES WAR ; key: STAT BOOKS
PIG SQUID RACE FARM ; key: POTATO WAR
END RUINS CHICKEN PARK ; key: RACE
CRYPT GOLDEN BOSS ZOMBIE ; key: GHOULS
SPEED CHANCE WISDOM LUCK ; key: BOBBIN TIME
TREASURE DOUBLE CREATURE TROPHY ; key: FISHING CHANCE
HOTSPOT TREASURE PHANTOM COMMON ; key: HOOK
PESTO BLUE SUNNY SPICY ; key: OMELETTE
GHAST WITHER CLOWN GUARDIAN ; key: DUNGEON BOSSES
YOUNG CANE RACING CAT ; key: SPEED
COLLECTION MINER JACOBUS ELIZABETH ; key: ACCESSORY BAG
FLOWER PET RARITY NPC ; key: KAT
MINION ARTIFACT PAINTING ORB ; key: DARK AUCTION
DEMON DAGGER NETHER BOSS ; key: INFERNO DEMONLORD
TERMINAL HAIR HARP SHOES ; key: MELODY
QUARRY ZOMBIE CRYSTAL ARMOR ; key: LAPIS
TORCH SWORD CORE ANANKE ; key: KUUDRA RNGS
FARMING STRENGTH MENDING HEALING ; key: WAND OF
MONTH CARD GOAL PET ; key: BINGO
TALISMAN RING ARTIFACT RELIC ; key: ACCESSORY
PAINTING TNT GLASS ADMINS ; key: SPECIAL ITEMS
PET SLAYER MASK MINION ; key: ENDERMAN
TOGETHER COLLECTION SHARED PEOPLE ; key: CO-OP
GUEST STORAGE BEACON MINION ; key: PRIVATE ISLAND
PARROT BEE FROG SNOWMAN ; key: CARNIVAL MASKS
DEATH WITHER ENDER MAGMA ; key: BOWS
RUBIX GOBLIN BOOKSHELF WISE ; key: INTELLIGENCE
REBOUND ENIGMA FAIRY EATER ; key: SOULS
LAPIS QUARTZ FEATHER CORE ; key: TERMINATOR MATERIALS
QUARTZ TEA SILVERFISH MINES ; key: ABANDONED QUARRY
BLADE ATOM EDGE OVOID ; key: NULL
GOLEM GUARDIAN SQUID SNIFFER ; key: MYTHIC SEA CREATURES
WISDOM KID SAC NIGHT ; key: SQUID
SQUID WOLF RABBIT OCELOT ; key: WISDOM PETS
TRADING BAZAAR AUCTION COMPLAIN ; key: IRONMAN
JERRY GOBLIN SCATHA SENTRY ; key: SHIELDED MOBS
WITHER SNAKE CHICKEN ZEALOT ; key: ELUSIVE
TRUE TURTLE TANK PROTECTION ; key: DEFENSE
PLAQUE ISLE TIER SLIME ; key: KUUDRA
RUNAAN, AATROX, LAST BREATH, SPIRIT MASK ; key: LEAGUE REFERENCES
FUEL POSTCARD SLIME SLOTS ; key: MINIONS
DAILY QUEEN EMISSARY TWO ; key: CRIMSON ISLE FACTIONS
DIAMOND GOLD WITHER CRIMSON ; key: ESSENCE
PELT DESERT HUNT SHOP ; key: TRAPPER
RIVAL KIDNEY HEART LUNG ; key: FUTURE77
MOSQUITO JUJU SPIDER SPIRIT ; key: SHORTBOWS
KILLER ROD TOOTH SWORD ; key: GIANT
HOT BURNING INFERNAL FIERY ; key: KUUDRA TIERS
WAVE AXE SHOT SHEEP ; key: DUNGEON ABILITIES
POWER CHAOS ICE EMERALD ; key: WITHER DRAGONS
